YEAR,MONTH,ROHLIK_AVG_PRICE,YEAR_MONTH
2020,1,292.48516129,2020/1
2020,2,290.608928571,2020/2
2020,3,310.207032967,2020/3
2020,4,302.914099783,2020/4
2020,5,303.166666667,2020/5
2020,6,303.166666667,2020/6
2020,7,303.166666667,2020/7
2020,8,303.237901499,2020/8
2020,9,303.166666667,2020/9
2020,10,301.843218807,2020/10
2020,11,290.026492537,2020/11
2020,12,292.455970149,2020/12
2021,1,300.808932039,2021/1
2021,2,301.415789474,2021/2
2021,3,286.37007874,2021/3
2021,4,295.586774942,2021/4
2021,5,299.764393939,2021/5
2021,6,292.85,2021/6
2021,7,292.951724138,2021/7
2021,8,288.075806452,2021/8
2021,9,292.847142857,2021/9
2021,10,292.054411765,2021/10
2021,11,280.659459459,2021/11
2021,12,299.85,2021/12
2022,1,290.996721311,2022/1
2022,2,300.86440678,2022/2
2022,3,296.0984375,2022/3
2022,4,288.701639344,2022/4
2022,5,312.11969697,2022/5
2022,6,320.835211268,2022/6
2022,7,320.368831169,2022/7
2022,8,319.992857143,2022/8
2022,9,328.233802817,2022/9
2022,10,305.46465230204376,2022/10
2022,11,305.7283362135313,2022/11
2022,12,305.99202012502064,2022/12
2023,1,307.21446129329524,2023/1
2023,2,307.4781452047828,2023/2
2023,3,307.74182911627213,2023/3
2023,4,308.0055130277615,2023/4
2023,5,308.269196939249,2023/5
2023,6,308.53288085073837,2023/6
2023,7,308.7965647622277,2023/7
2023,8,309.06024867371525,2023/8
2023,9,309.3239325852046,2023/9
2023,10,309.58761649669395,2023/10
2023,11,309.8513004081815,2023/11
2023,12,310.11498431967084,2023/12
